"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"60921","CENTRAL","NMG RIO PUERCO BI-DIR","MQ","DPQ","D","300000","300000","9200","290800","N","N","N","Y",""
"58710","CENTRAL","NMG THOMPSON","MQ","DPQ","D","50000","50000","27760","22240","Y","N","N","Y",""
"100746","WEST TEXAS","NMGC Potash","MQ","DPQ","D","5000","5000","450","4550","Y","N","N","Y",""
"61334","WEST TEXAS","NNG/TW ESTES WARD","MQ","DPQ","D","50000","55000","4500","50500","Y","N","N","Y",""
"500383","W. THOREAU","NUCOR STEEL I/C","MQ","DPQ","D","5000","5000","1300","3700","N","N","N","Y",""
"500168","WEST TEXAS","ONEOK WARD","MQ","DPQ","D","200000","200000","3000","197000","N","N","N","Y",""
"8042","PANHANDLE","PEPL HANSFORD CACTUS","MQ","DPQ","D","80000","70000","43174","26826","N","N","Y","Y",""
"56698","W. THOREAU","PG&E TOPOCK","MQ","DPQ","D","375000","380000","167173","212827","N","N","N","Y",""
"78342","SAN JUAN2","QUESTAR BLOOMFIELD I/C","MQ","DPQ","D","120000","120000","600","119400","Y","N","N","Y",""
"500538","SAN JUAN2","RED CEDAR ARKANSAS LOOP","M2","RPQ","R","350000","350000","145498","204502","Y","N","N","Y",""
"78484","PHOENIX","RED HAWK PLANT","MQ","DPQ","D","500000","500000","59403","440597","N","N","N","Y",""
"100804","CENTRAL","Riley Permian","MQ","DPQ","D","12630","12630","400","12230","N","N","N","Y",""
"78496","PHOENIX","SANTAN PLANT","MQ","DPQ","D","144084","203000","102284","100716","N","N","N","Y",""
"10487","W. THOREAU","SOCAL NEEDLES","MQ","DPQ","D","850000","850000","339452","510548","Y","N","N","Y",""
"10594","PANHANDLE","SOUTHERN STAR-CANADIAN RIVER","MQ","DPQ","D","150000","150000","21484","128516","N","N","N","Y",""
"10594","PANHANDLE","SOUTHERN STAR-CANADIAN RIVER","M2","RPQ","R","150000","175000","8209","166791","N","N","N","Y",""
"78403","PANHANDLE","SOUTHWEST CHEESE I/C","MQ","DPQ","D","5000","5000","1883","3117","N","N","N","Y",""
"78481","PHOENIX","SUN VALLEY SOUTH DELIVERY","MQ","DPQ","D","35000","35000","68","34932","N","N","N","Y",""
"78492","PHOENIX","SUNDANCE PLANT","MQ","DPQ","D","210000","210000","5000","205000","N","N","N","Y",""
"100787","CENTRAL","Shadow Fuel","MQ","DPQ","D","800","5000","675","4325","Y","N","N","Y",""
"100739","WEST TEXAS","TARGA DK BOYD FUEL","MQ","DPQ","D","3800","4000","2600","1400","Y","N","N","Y",""
"79028","WEST TEXAS","TARGA ROJO BANCO","M2","RPQ","R","475000","475000","167175","307825","Y","N","N","Y",""
"100718","WEST TEXAS","TRANS PECOS I/C","MQ","DPQ","D","500000","500000","274178","225822","Y","N","N","Y",""
"13335","PANHANDLE","TW (CABOT) RANDALL CO COUNTRY CLUB","MQ","DPQ","D","5000","5000","8","4992","N","N","N","Y",""
"100771","WEST TEXAS","TW Grey Wolf","M2","RPQ","R","200000","200000","166333","33667","Y","N","N","Y",""
"56774","SAN JUAN","TW STANDING ROCK I/C","MQ","DPQ","D","3000","3000","198","2802","N","N","N","Y",""
"13300","WEST TEXAS","TW/WALTON FUEL DELIVERY","MQ","DPQ","D","1000","3000","25","2975","N","N","N","Y",""
"500612","PANHANDLE","TW/WTG/HANSFORD CO I/C","MQ","DPQ","D","6000","6000","6000","0","N","N","N","Y",""
"500632","SAN JUAN","TWPL/TRANSCOLORADO BLANCO","M2","RPQ","R","450000","450000","47858","402142","Y","N","N","Y",""
"100727","WEST TEXAS","Targa Roadrunner","M2","RPQ","R","160000","160000","116622","43378","Y","N","N","Y",""
"100730","WEST TEXAS","Targa Wildcat","M2","RPQ","R","272000","272000","200311","71689","Y","N","N","Y",""
"9260","PANHANDLE","WEST TX GAS/TW  (ENERGAS) RANDALL CANYON","MQ","DPQ","D","3000","3000","1","2999","N","N","N","Y",""
"16540","WEST TEXAS","WEST TX GAS/TW  WINKLER WEST TEXAS","MQ","DPQ","D","5000","11000","1973","9027","Y","N","N","Y",""
"9259","PANHANDLE","WEST TX GAS/TW (ENERGAS) GRAY PAMPA","MQ","DPQ","D","3000","3000","2","2998","N","N","N","Y",""
"56419","SAN JUAN","WILLIAMS FIELD MILAGRO PLANT","M2","RPQ","R","450000","500000","64890","435110","Y","N","N","Y",""
